pid1 pid1_Status pid2 pid2_Status weight
32 Research 43 Research 251.0
32 Research 41 Research 209.0
32 Research 6 Operations 51.0
32 Research 18 Operations 31.0
32 Research 15 Outreach 2.0
63 Outreach 45 GradStudent 1.0
63 Outreach 56 Director 145.0
63 Outreach 12 Director 51.0
63 Outreach 29 PM 9.0
63 Outreach 0 PM 6.0
63 Outreach 57 Research 27.0
63 Outreach 14 Research 1.0
63 Outreach 18 Operations 17.0
63 Outreach 9 Operations 2.0
63 Outreach 15 Outreach 106.0
21 Operations 59 GradStudent 9.0
21 Operations 2 GradStudent 8.0
21 Operations 12 Director 567.0
21 Operations 56 Director 468.0
21 Operations 29 PM 91.0
21 Operations 24 PM 74.0
21 Operations 57 Research 496.0
21 Operations 43 Research 67.0
21 Operations 21 Operations 120.0
21 Operations 18 Operations 88.0
21 Operations 15 Outreach 36.0
21 Operations 63 Outreach 4.0
37 GradStudent 42 GradStudent 7.0
37 GradStudent 23 GradStudent 5.0
37 GradStudent 25 Director 8.0
37 GradStudent 24 PM 103.0
37 GradStudent 29 PM 3.0
37 GradStudent 41 Research 80.0
37 GradStudent 55 Research 24.0
37 GradStudent 18 Operations 16.0
37 GradStudent 9 Operations 4.0
68 Research 61 GradStudent 5.0
68 Research 60 GradStudent 3.0
68 Research 25 Director 25.0
68 Research 28 Director 7.0
68 Research 24 PM 24.0
68 Research 29 PM 4.0
68 Research 68 Research 50.0
68 Research 47 Research 36.0
68 Research 49 Operations 8.0
68 Research 6 Operations 7.0
8 GradStudent 51 GradStudent 27.0
8 GradStudent 60 GradStudent 5.0
8 GradStudent 25 Director 12.0
8 GradStudent 22 Director 3.0
8 GradStudent 24 PM 16.0
8 GradStudent 29 PM 1.0
8 GradStudent 41 Research 36.0
8 GradStudent 5 Research 23.0
8 GradStudent 18 Operations 12.0
8 GradStudent 9 Operations 3.0
8 GradStudent 15 Outreach 10.0
9 Operations 65 GradStudent 143.0
9 Operations 38 GradStudent 107.0
9 Operations 25 Director 540.0
9 Operations 28 Director 404.0
9 Operations 24 PM 556.0
9 Operations 50 PM 292.0
9 Operations 41 Research 483.0
9 Operations 47 Research 382.0
9 Operations 18 Operations 411.0
9 Operations 6 Operations 249.0
9 Operations 15 Outreach 129.0
9 Operations 63 Outreach 51.0
19 Research 40 GradStudent 19.0
19 Research 54 GradStudent 10.0
19 Research 12 Director 43.0
19 Research 25 Director 34.0
19 Research 29 PM 96.0
19 Research 39 PM 86.0
19 Research 57 Research 45.0
19 Research 43 Research 42.0
19 Research 21 Operations 19.0
19 Research 49 Operations 10.0
19 Research 15 Outreach 6.0
23 GradStudent 7 GradStudent 39.0
23 GradStudent 48 GradStudent 34.0
23 GradStudent 25 Director 60.0
23 GradStudent 12 Director 1.0
23 GradStudent 24 PM 78.0
23 GradStudent 50 PM 31.0
23 GradStudent 41 Research 170.0
23 GradStudent 16 Research 149.0
23 GradStudent 3 Operations 26.0
23 GradStudent 9 Operations 13.0
26 Operations 2 GradStudent 5.0
26 Operations 58 GradStudent 5.0
26 Operations 25 Director 147.0
26 Operations 12 Director 67.0
26 Operations 24 PM 208.0
26 Operations 50 PM 85.0
26 Operations 4 Research 51.0
26 Operations 57 Research 45.0
26 Operations 21 Operations 46.0
26 Operations 18 Operations 2.0
4 Research 59 GradStudent 135.0
4 Research 38 GradStudent 119.0
4 Research 12 Director 845.0
4 Research 25 Director 701.0
4 Research 0 PM 736.0
4 Research 29 PM 288.0
4 Research 57 Research 253.0
4 Research 41 Research 198.0
4 Research 18 Operations 136.0
4 Research 9 Operations 94.0
4 Research 15 Outreach 34.0
17 GradStudent 10 GradStudent 5.0
17 GradStudent 54 GradStudent 4.0
17 GradStudent 12 Director 42.0
17 GradStudent 25 Director 21.0
17 GradStudent 29 PM 149.0
17 GradStudent 62 Research 38.0
17 GradStudent 57 Research 23.0
17 GradStudent 9 Operations 10.0
17 GradStudent 21 Operations 9.0
44 GradStudent 53 GradStudent 7.0
44 GradStudent 58 GradStudent 4.0
44 GradStudent 25 Director 7.0
44 GradStudent 12 Director 2.0
44 GradStudent 29 PM 7.0
44 GradStudent 0 PM 1.0
44 GradStudent 33 Research 8.0
44 GradStudent 47 Research 8.0
44 GradStudent 18 Operations 6.0
44 GradStudent 9 Operations 1.0
36 Director 65 GradStudent 5.0
36 Director 2 GradStudent 2.0
36 Director 12 Director 1105.0
36 Director 25 Director 1016.0
36 Director 50 PM 313.0
36 Director 0 PM 296.0
36 Director 57 Research 387.0
36 Director 4 Research 162.0
36 Director 18 Operations 159.0
36 Director 6 Operations 148.0
36 Director 15 Outreach 160.0
36 Director 63 Outreach 45.0
31 GradStudent 51 GradStudent 9.0
31 GradStudent 8 GradStudent 8.0
31 GradStudent 25 Director 4.0
31 GradStudent 22 Director 2.0
31 GradStudent 24 PM 39.0
31 GradStudent 29 PM 2.0
31 GradStudent 16 Research 33.0
31 GradStudent 41 Research 24.0
31 GradStudent 18 Operations 5.0
31 GradStudent 49 Operations 5.0
0 PM 38 GradStudent 61.0
0 PM 58 GradStudent 37.0
0 PM 36 Director 1078.0
0 PM 12 Director 824.0
0 PM 29 PM 557.0
0 PM 50 PM 127.0
0 PM 4 Research 794.0
0 PM 14 Research 309.0
0 PM 18 Operations 751.0
0 PM 9 Operations 161.0
0 PM 15 Outreach 31.0
0 PM 63 Outreach 3.0
43 Research 59 GradStudent 55.0
43 Research 66 GradStudent 31.0
43 Research 25 Director 494.0
43 Research 12 Director 350.0
43 Research 50 PM 176.0
43 Research 39 PM 164.0
43 Research 57 Research 476.0
43 Research 41 Research 417.0
43 Research 6 Operations 97.0
43 Research 18 Operations 60.0
43 Research 15 Outreach 3.0
66 GradStudent 59 GradStudent 34.0
66 GradStudent 66 GradStudent 26.0
66 GradStudent 25 Director 29.0
66 GradStudent 12 Director 12.0
66 GradStudent 24 PM 15.0
66 GradStudent 29 PM 7.0
66 GradStudent 41 Research 101.0
66 GradStudent 32 Research 80.0
66 GradStudent 18 Operations 15.0
66 GradStudent 9 Operations 8.0
66 GradStudent 15 Outreach 4.0
49 Operations 65 GradStudent 20.0
49 Operations 59 GradStudent 17.0
49 Operations 28 Director 18.0
49 Operations 25 Director 18.0
49 Operations 24 PM 48.0
49 Operations 39 PM 16.0
49 Operations 57 Research 38.0
49 Operations 41 Research 37.0
49 Operations 18 Operations 108.0
49 Operations 49 Operations 14.0
49 Operations 15 Outreach 10.0
25 Director 58 GradStudent 129.0
25 Director 65 GradStudent 78.0
25 Director 12 Director 2933.0
25 Director 36 Director 1910.0
25 Director 50 PM 1756.0
25 Director 24 PM 1362.0
25 Director 43 Research 594.0
25 Director 41 Research 562.0
25 Director 18 Operations 508.0
25 Director 9 Operations 261.0
25 Director 15 Outreach 371.0
25 Director 63 Outreach 20.0
62 Research 17 GradStudent 45.0
62 Research 27 GradStudent 43.0
62 Research 25 Director 69.0
62 Research 12 Director 62.0
62 Research 29 PM 117.0
62 Research 24 PM 13.0
62 Research 41 Research 162.0
62 Research 47 Research 93.0
62 Research 18 Operations 25.0
62 Research 9 Operations 20.0
62 Research 15 Outreach 2.0
29 PM 65 GradStudent 111.0
29 PM 51 GradStudent 108.0
29 PM 25 Director 1040.0
29 PM 12 Director 402.0
29 PM 24 PM 922.0
29 PM 50 PM 259.0
29 PM 57 Research 450.0
29 PM 47 Research 437.0
29 PM 18 Operations 226.0
29 PM 21 Operations 109.0
29 PM 15 Outreach 47.0
29 PM 63 Outreach 13.0
59 GradStudent 66 GradStudent 61.0
59 GradStudent 67 GradStudent 35.0
59 GradStudent 12 Director 46.0
59 GradStudent 25 Director 29.0
59 GradStudent 29 PM 69.0
59 GradStudent 0 PM 16.0
59 GradStudent 4 Research 126.0
59 GradStudent 43 Research 78.0
59 GradStudent 49 Operations 28.0
59 GradStudent 21 Operations 16.0
59 GradStudent 15 Outreach 24.0
3 Operations 23 GradStudent 1.0
3 Operations 7 GradStudent 1.0
3 Operations 50 PM 2.0
3 Operations 29 PM 2.0
3 Operations 41 Research 3.0
3 Operations 47 Research 2.0
20 Research 66 GradStudent 18.0
20 Research 54 GradStudent 1.0
20 Research 25 Director 72.0
20 Research 12 Director 31.0
20 Research 29 PM 15.0
20 Research 24 PM 7.0
20 Research 20 Research 13.0
20 Research 57 Research 12.0
20 Research 18 Operations 10.0
20 Research 21 Operations 2.0
12 Director 17 GradStudent 256.0
12 Director 10 GradStudent 176.0
12 Director 25 Director 5163.0
12 Director 36 Director 3971.0
12 Director 50 PM 1864.0
12 Director 29 PM 1374.0
12 Director 57 Research 2257.0
12 Director 4 Research 2211.0
12 Director 21 Operations 4698.0
12 Director 26 Operations 279.0
12 Director 15 Outreach 378.0
12 Director 63 Outreach 89.0
